id,degree,is_paying,bachelor_course,master_couse,specialty,SDistrict,plan_to_move_to_distant,payments_for_distant,self_efficiency
525030,В бакалавриате,На бюджетном месте,5 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",СФО,NA,NA,Скорее не согласен(-на)
525032,В бакалавриате,На бюджетном месте,5 курс,NA,Образование и педагогические науки,СФО,NA,NA,Абсолютно не согласен(-на)
525040,В бакалавриате,На бюджетном месте,5 курс,NA,Образование и педагогические науки,СФО,NA,NA,Абсолютно не согласен(-на)
525042,В бакалавриате,На бюджетном месте,5 курс,NA,Образование и педагогические науки,СФО,NA,NA,Скорее не согласен(-на)
525043,В бакалавриате,На бюджетном месте,2 курс,NA,Экономика и менеджмент,УФО,NA,NA,Затрудняюсь ответить
525046,В бакалавриате,На бюджетном месте,2 курс,NA,"Естественные науки (химия, биология, физика и т.д.)",УФО,NA,NA,Скорее согласен(-на)
525052,В магистратуре,На бюджетном месте,NA,1 курс,Образование и педагогические науки,УФО,NA,NA,Скорее не согласен(-на)
525055,В бакалавриате,На бюджетном месте,2 курс,NA,Затрудняюсь ответить,УФО,NA,NA,Абсолютно не согласен(-на)
525056,В бакалавриате,На бюджетном месте,4 курс,NA,Образование и педагогические науки,УФО,NA,NA,Скорее не согласен(-на)
525058,В специалитете,На бюджетном месте,2 курс,NA,Компьютерные науки,УФО,NA,NA,Скорее не согласен(-на)
525059,В бакалавриате,На бюджетном месте,4 курс,NA,Образование и педагогические науки,УФО,NA,NA,Абсолютно не согласен(-на)
525060,В бакалавриате,На бюджетном месте,1 курс,NA,Образование и педагогические науки,УФО,NA,NA,Абсолютно не согласен(-на)
525061,В бакалавриате,На бюджетном месте,1 курс,NA,Образование и педагогические науки,УФО,NA,NA,Скорее не согласен(-на)
525062,В бакалавриате,На бюджетном месте,2 курс,NA,Образование и педагогические науки,УФО,NA,NA,Скорее не согласен(-на)
525063,В бакалавриате,На бюджетном месте,5 курс,NA,Образование и педагогические науки,УФО,NA,NA,Затрудняюсь ответить
525064,В бакалавриате,На бюджетном месте,2 курс,NA,Образование и педагогические науки,УФО,NA,NA,Полностью согласен(-на)
525067,В бакалавриате,На бюджетном месте,1 курс,NA,"Социальные науки (социология, психология и т.д.)",УФО,NA,NA,Скорее не согласен(-на)
525069,В бакалавриате,На бюджетном месте,4 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",УФО,NA,NA,Скорее согласен(-на)
525071,В бакалавриате,На бюджетном месте,1 курс,NA,"Гуманитарные науки (философия, филология и т.д.)",УФО,NA,NA,Полностью согласен(-на)
525075,В бакалавриате,На месте с оплатой обучения,1 курс,NA,Образование и педагогические науки,УФО,NA,NA,Скорее согласен(-на)
525078,В специалитете,На месте с оплатой обучения,3 курс,NA,Экономика и менеджмент,УФО,NA,NA,Абсолютно не согласен(-на)
525079,В бакалавриате,На месте с оплатой обучения,2 курс,NA,Экономика и менеджмент,УФО,NA,NA,Полностью согласен(-на)
525085,В специалитете,На месте с оплатой обучения,3 курс,NA,Экономика и менеджмент,УФО,NA,NA,Скорее согласен(-на)
525086,В бакалавриате,На бюджетном месте,2 курс,NA,Образование и педагогические науки,УФО,NA,NA,Затрудняюсь ответить
525088,В специалитете,На месте с оплатой обучения,2 курс,NA,Экономика и менеджмент,УФО,NA,NA,Полностью согласен(-на)
525089,В специалитете,На месте с оплатой обучения,2 курс,NA,Экономика и менеджмент,УФО,NA,NA,Абсолютно не согласен(-на)
525090,В специалитете,На месте с оплатой обучения,2 курс,NA,Экономика и менеджмент,УФО,NA,NA,Полностью согласен(-на)
